Story Number,Story Title,Story URL,Expected Title,Target Repository,Domain
273,"Security: Audit Trail for Price Overrides, Refunds, and Cancellations",https://github.com/louisburroughs/durion/issues/273,"[FRONTEND] Security: Audit Trail for Price Overrides, Refunds, and Cancellations",louisburroughs/durion-moqui-frontend
272,Security: Define POS Roles and Permission Matrix,https://github.com/louisburroughs/durion/issues/272,[FRONTEND] Security: Define POS Roles and Permission Matrix,louisburroughs/durion-moqui-frontend
271,Customer: Enforce PO Requirement and Billing Rules During Checkout,https://github.com/louisburroughs/durion/issues/271,[FRONTEND] Customer: Enforce PO Requirement and Billing Rules During Checkout,louisburroughs/durion-moqui-frontend
270,Customer: Load Customer + Vehicle Context and Billing Rules,https://github.com/louisburroughs/durion/issues/270,[FRONTEND] Customer: Load Customer + Vehicle Context and Billing Rules,louisburroughs/durion-moqui-frontend
269,Accounting: Reconcile POS Status with Accounting Authoritative Status,https://github.com/louisburroughs/durion/issues/269,[FRONTEND] Accounting: Reconcile POS Status with Accounting Authoritative Status,louisburroughs/durion-moqui-frontend
268,Accounting: Update Invoice Payment Status from Payment Outcomes,https://github.com/louisburroughs/durion/issues/268,[FRONTEND] Accounting: Update Invoice Payment Status from Payment Outcomes,louisburroughs/durion-moqui-frontend
267,Payment: Print/Email Receipt and Store Reference,https://github.com/louisburroughs/durion/issues/267,[FRONTEND] Payment: Print/Email Receipt and Store Reference,louisburroughs/durion-moqui-frontend
266,Payment: Void Authorization or Refund Captured Payment,https://github.com/louisburroughs/durion/issues/266,[FRONTEND] Payment: Void Authorization or Refund Captured Payment,louisburroughs/durion-moqui-frontend
265,Payment: Initiate Card Authorization and Capture,https://github.com/louisburroughs/durion/issues/265,[FRONTEND] Payment: Initiate Card Authorization and Capture,louisburroughs/durion-moqui-frontend
264,Appointment: Show Assignment (Location/Bay/Mobile + Mechanic),https://github.com/louisburroughs/durion/issues/264,[FRONTEND] Appointment: Show Assignment (Location/Bay/Mobile + Mechanic),louisburroughs/durion-moqui-frontend
263,Appointment: Reschedule Appointment with Notifications,https://github.com/louisburroughs/durion/issues/263,[FRONTEND] Appointment: Reschedule Appointment with Notifications,louisburroughs/durion-moqui-frontend
262,Appointment: Create Appointment from Estimate or Order,https://github.com/louisburroughs/durion/issues/262,[FRONTEND] Appointment: Create Appointment from Estimate or Order,louisburroughs/durion-moqui-frontend
261,Workexec: Display Invoice and Request Finalization (Controlled),https://github.com/louisburroughs/durion/issues/261,[FRONTEND] Workexec: Display Invoice and Request Finalization (Controlled),louisburroughs/durion-moqui-frontend
260,Workexec: Display Work In Progress Status for Active Workorders,https://github.com/louisburroughs/durion/issues/260,[FRONTEND] Workexec: Display Work In Progress Status for Active Workorders,louisburroughs/durion-moqui-frontend
259,Workexec: Retrieve and Display Estimates for Customer/Vehicle,https://github.com/louisburroughs/durion/issues/259,[FRONTEND] Workexec: Retrieve and Display Estimates for Customer/Vehicle,louisburroughs/durion-moqui-frontend
258,Catalog: View Product Details with Price and Availability Signals,https://github.com/louisburroughs/durion/issues/258,[FRONTEND] Catalog: View Product Details with Price and Availability Signals,louisburroughs/durion-moqui-frontend
257,Catalog: Search Catalog by Keyword/SKU and Filter,https://github.com/louisburroughs/durion/issues/257,[FRONTEND] Catalog: Search Catalog by Keyword/SKU and Filter,louisburroughs/durion-moqui-frontend
256,Order: Cancel Order with Controlled Void Logic,https://github.com/louisburroughs/durion/issues/256,[FRONTEND] Order: Cancel Order with Controlled Void Logic,louisburroughs/durion-moqui-frontend
255,Order: Apply Price Override with Permission and Reason,https://github.com/louisburroughs/durion/issues/255,[FRONTEND] Order: Apply Price Override with Permission and Reason,louisburroughs/durion-moqui-frontend
254,Order: Create Sales Order Cart and Add Items,https://github.com/louisburroughs/durion/issues/254,[FRONTEND] Order: Create Sales Order Cart and Add Items,louisburroughs/durion-moqui-frontend
244,Security: Immutable Audit Trail for Movements and Workorder Links,https://github.com/louisburroughs/durion/issues/244,[FRONTEND] Security: Immutable Audit Trail for Movements and Workorder Links,louisburroughs/durion-moqui-frontend
243,Security: Define Inventory Roles and Permission Matrix,https://github.com/louisburroughs/durion/issues/243,[FRONTEND] Security: Define Inventory Roles and Permission Matrix,louisburroughs/durion-moqui-frontend
242,Allocations: Reallocate Reserved Stock When Schedule Changes,https://github.com/louisburroughs/durion/issues/242,[FRONTEND] Allocations: Reallocate Reserved Stock When Schedule Changes,louisburroughs/durion-moqui-frontend
241,Allocations: Handle Shortages with Backorder or Substitution Suggestion,https://github.com/louisburroughs/durion/issues/241,[FRONTEND] Allocations: Handle Shortages with Backorder or Substitution Suggestion,louisburroughs/durion-moqui-frontend
240,Counts: Approve and Post Adjustments from Cycle Count,https://github.com/louisburroughs/durion/issues/240,[FRONTEND] Counts: Approve and Post Adjustments from Cycle Count,louisburroughs/durion-moqui-frontend
239,Counts: Execute Cycle Count and Record Variances,https://github.com/louisburroughs/durion/issues/239,[FRONTEND] Counts: Execute Cycle Count and Record Variances,louisburroughs/durion-moqui-frontend
