Story Number,Story Title,Story URL,Expected Title,Target Repository,Domain
238,Counts: Plan Cycle Counts by Location/Zone,https://github.com/louisburroughs/durion/issues/238,[FRONTEND] [STORY] Counts: Plan Cycle Counts by Location/Zone,louisburroughs/durion-moqui-frontend
237,Fulfillment: Return Unused Items to Stock with Reason,https://github.com/louisburroughs/durion/issues/237,[FRONTEND] [STORY] Fulfillment: Return Unused Items to Stock with Reason,louisburroughs/durion-moqui-frontend
236,Fulfillment: Issue/Consume Picked Items to Workorder,https://github.com/louisburroughs/durion/issues/236,[FRONTEND] [STORY] Fulfillment: Issue/Consume Picked Items to Workorder,louisburroughs/durion-moqui-frontend
235,Fulfillment: Mechanic Executes Picking (Scan + Confirm),https://github.com/louisburroughs/durion/issues/235,[FRONTEND] [STORY] Fulfillment: Mechanic Executes Picking (Scan + Confirm),louisburroughs/durion-moqui-frontend
212,Security: Immutable Audit Trail for Price/Cost Changes and Rule Evaluations,https://github.com/louisburroughs/durion/issues/212,[FRONTEND] [STORY] Security: Immutable Audit Trail for Price/Cost Changes and Rule Evaluations,louisburroughs/durion-moqui-frontend
211,Security: Define Roles and Permission Matrix for Product/Pricing,https://github.com/louisburroughs/durion/issues/211,[FRONTEND] [STORY] Security: Define Roles and Permission Matrix for Product/Pricing,louisburroughs/durion-moqui-frontend
210,Rules: Enforce Location Restrictions and Service Rules for Products,https://github.com/louisburroughs/durion/issues/210,[FRONTEND] [STORY] Rules: Enforce Location Restrictions and Service Rules for Products,louisburroughs/durion-moqui-frontend
209,Rules: Store Fitment Hints and Vehicle Applicability Tags (Basic),https://github.com/louisburroughs/durion/issues/209,[FRONTEND] [STORY] Rules: Store Fitment Hints and Vehicle Applicability Tags (Basic),louisburroughs/durion-moqui-frontend
208,Rules: Maintain Substitute Relationships and Equivalency Types,https://github.com/louisburroughs/durion/issues/208,[FRONTEND] [STORY] Rules: Maintain Substitute Relationships and Equivalency Types,louisburroughs/durion-moqui-frontend
207,Availability: Normalize Manufacturer Inventory Feeds (Stub via Positivity),https://github.com/louisburroughs/durion/issues/207,[FRONTEND] [STORY] Availability: Normalize Manufacturer Inventory Feeds (Stub via Positivity),louisburroughs/durion-moqui-frontend
206,Availability: Normalize Distributor Inventory Feeds (Stub via Positivity),https://github.com/louisburroughs/durion/issues/206,[FRONTEND] [STORY] Availability: Normalize Distributor Inventory Feeds (Stub via Positivity),louisburroughs/durion-moqui-frontend
205,Availability: Expose On-hand and Available-to-Promise by Location (from Inventory),https://github.com/louisburroughs/durion/issues/205,[FRONTEND] [STORY] Availability: Expose On-hand and Available-to-Promise by Location (from Inventory),louisburroughs/durion-moqui-frontend
204,Workexec: Handle Substitution Pricing for Part Substitutions,https://github.com/louisburroughs/durion/issues/204,[FRONTEND] [STORY] Workexec: Handle Substitution Pricing for Part Substitutions,louisburroughs/durion-moqui-frontend
